Bot,Input Rate (points/1k tokens), Output Rate (points/1k token)
https://poe.com/Claude-Opus-4.6,142,709
https://poe.com/Claude-Sonnet-4.6,85,425
https://poe.com/Claude-Haiku-4.5,29,142
https://poe.com/GPT-5.3-Codex,53,420
https://poe.com/GPT-5.2,53,420
https://poe.com/GPT-5.2-Codex,53,420
https://poe.com/GPT-5.2-Pro,630,5040
https://poe.com/GPT-5.1-Codex-Max,38,300
https://poe.com/GPT-5.1-Codex,38,300
https://poe.com/GPT-5-Codex,38,300
https://poe.com/GPT-5-Pro,450,3600
https://poe.com/o3-pro,600,2400
https://poe.com/Gemini-3.1-Pro,67,400
https://poe.com/Gemini-3-Pro,54,320
https://poe.com/Minimax-M2.5,10,40
https://poe.com/GLM-5,34,107
https://poe.com/Kimi-K2.5,20,100
